date,country_code,country_name,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index
2022-01-16,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-17,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-18,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-19,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-20,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-21,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-22,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-23,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-24,MR,Mauritania,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,1.0,,0.0,3.0,5.0,39.81
2022-01-25,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-01-26,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-01-27,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-01-28,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-01-29,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-01-30,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-01-31,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-01,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-02,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-03,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-04,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-05,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-06,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-07,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-08,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-09,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-10,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-11,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,51.85
2022-02-12,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-13,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-14,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-15,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-16,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-17,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-18,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-19,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-20,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
2022-02-21,MR,Mauritania,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,,,2.0,3.0,0.0,,0.0,3.0,5.0,43.52
